Id,Hrs,Min,Secs,Day,date,Month,Year,Count
1,7,15,15,7,1,8,2020,10
2,7,35,57,7,1,8,2020,50
3,7,55,45,7,1,8,2020,6
4,8,15,10,7,1,8,2020,17
5,8,35,20,7,1,8,2020,20
6,8,55,35,7,1,8,2020,12
7,9,15,45,7,1,8,2020,35
8,9,35,10,7,1,8,2020,45
9,9,55,20,7,1,8,2020,20
10,10,15,45,7,1,8,2020,75
11,10,35,14,7,1,8,2020,46
12,10,55,20,7,1,8,2020,44
13,11,15,25,7,1,8,2020,40
14,11,25,35,7,1,8,2020,55
15,11,40,50,7,1,8,2020,15
16,11,55,55,7,1,8,2020,57
17,12,15,45,7,1,8,2020,45
18,12,35,10,7,1,8,2020,10
19,12,55,20,7,1,8,2020,20
20,7,15,15,1,2,8,2020,34
21,7,35,57,1,2,8,2020,41
22,7,55,45,1,2,8,2020,24
23,8,15,10,1,2,8,2020,29
24,8,35,20,1,2,8,2020,9
25,8,55,35,1,2,8,2020,50
26,9,15,45,1,2,8,2020,15
27,9,35,10,1,2,8,2020,13
28,9,55,20,1,2,8,2020,26
29,10,15,45,1,2,8,2020,33
30,10,35,14,1,2,8,2020,27
31,10,55,20,1,2,8,2020,46
32,11,15,25,1,2,8,2020,43
33,11,25,35,1,2,8,2020,20
34,11,40,50,1,2,8,2020,40
35,11,55,55,1,2,8,2020,12
36,12,15,45,1,2,8,2020,24
37,12,35,10,1,2,8,2020,38
38,12,55,20,1,2,8,2020,30
39,7,15,15,2,3,8,2020,35
40,7,35,57,2,3,8,2020,30
41,7,55,45,2,3,8,2020,20
42,8,15,10,2,3,8,2020,18
43,8,35,20,2,3,8,2020,46
44,8,55,35,2,3,8,2020,23
45,9,15,45,2,3,8,2020,27
46,9,35,10,2,3,8,2020,45
47,9,55,20,2,3,8,2020,50
48,10,15,45,2,3,8,2020,49
49,10,35,14,2,3,8,2020,48
50,10,55,20,2,3,8,2020,30
51,11,15,25,2,3,8,2020,9
52,11,25,35,2,3,8,2020,35
53,11,40,50,2,3,8,2020,1
54,11,55,55,2,3,8,2020,9
55,12,15,45,2,3,8,2020,24
56,12,35,10,2,3,8,2020,4
57,12,55,20,2,3,8,2020,31
58,7,15,15,3,4,8,2020,3
59,7,35,57,3,4,8,2020,16
60,7,55,45,3,4,8,2020,30
61,8,15,10,3,4,8,2020,15
62,8,35,20,3,4,8,2020,24
63,8,55,35,3,4,8,2020,34
64,9,15,45,3,4,8,2020,5
65,9,35,10,3,4,8,2020,27
66,9,55,20,3,4,8,2020,2
67,10,15,45,3,4,8,2020,16
68,10,35,14,3,4,8,2020,45
69,10,55,20,3,4,8,2020,23
70,11,15,25,3,4,8,2020,37
71,11,25,35,3,4,8,2020,20
72,11,40,50,3,4,8,2020,22
73,11,55,55,3,4,8,2020,25
74,12,15,45,3,4,8,2020,13
75,12,35,10,3,4,8,2020,25
76,12,55,20,3,4,8,2020,7
77,7,15,15,4,5,8,2020,6
78,7,35,57,4,5,8,2020,21
79,7,55,45,4,5,8,2020,47
80,8,15,10,4,5,8,2020,18
81,8,35,20,4,5,8,2020,20
82,8,55,35,4,5,8,2020,14
83,9,15,45,4,5,8,2020,26
84,9,35,10,4,5,8,2020,46
